sex,age,p_fte,p_no_fte,p_half_fte
F,62,0.2989165267798458,0.18642447418738048,0.5146589990327737
F,63,0.2845761826115858,0.2055449330783939,0.5098788843100204
F,64,0.2782026768642447,0.22466539196940727,0.497131931166348
F,65,0.2638623326959847,0.2533460803059273,0.482791586998088
F,66,0.25111537955231245,0.27724665391969405,0.4716379665279935
F,67,0.23518164435946465,0.30592734225621415,0.45889101338432114
F,68,0.21606118546845132,0.3330146979191563,0.4509241166123924
F,69,0.20809434704753227,0.36010193688007885,0.4318037160723889
F,70,0.19216061185468458,0.3855959598694431,0.42224342827587225
F,71,0.17304015296367115,0.4238368776514699,0.40312296938485903
F,72,0.16347992351816443,0.43499043977055446,0.40152963671128106
F,73,0.14117274092898546,0.481198254,0.3776290050710145
F,74,0.13001912045889108,0.5226258374536926,0.3473550420874163
F,75,0.10771193800000001,0.5528999751658102,0.33938808683418975
F,76,0.09815170842420529,0.5991076730177461,0.30274061855804857
F,77,0.07425113481043866,0.6293818107298638,0.2963670544596976
F,78,0.05513067591942522,0.6771829579573972,0.26768636612317753
F,79,0.03441682600382412,0.7074569789674952,0.2581261950286807
F,80,0.020076481835564097,0.753664735,0.22625878316443593
F,81,0,0.796685768,0.20331423199999998
F,82,0,0.8285532380609165,0.17144676193908348
F,83,0,0.8954748441794634,0.10452515582053656
F,84,0,0.9432759914069968,0.056724008593003195
F,85,0,1,0
